ligand	receptor
Bmp5	Bmpr2
Bmp6	Acvr1
Bmp6	Acvr2a
Bmp6	Acvr2b
Bmp6	Bmpr1a
Bmp6	Bmpr1b
Bmp6	Bmpr2
Bmp6	Hjv
Bmp7	Acvr1
Bmp7	Acvr2a
Bmp7	Acvr2b
Bmp7	Acvrl1
Bmp7	Bmpr1a
Bmp7	Bmpr1b
Bmp7	Bmpr2
Bmp7	Eng
Bmp8a	Acvr1
Bmp8a	Acvr2a
Bmp8a	Acvr2b
Bmp8a	Bmpr1a
Bmp8a	Bmpr1b
Bmp8a	Bmpr2
Bmp8a	Tgfbr1
Bmp8a	Tgfbr2
Bmp8b	Acvr1
Bmp8b	Acvr2a
Bmp8b	Acvr2b
Bmp8b	Bmpr1a
Bmp8b	Bmpr1b
Bmp8b	Bmpr2
Bmp8b	Tgfbr2
Bsg	Cav1
Bsg	Cd44
Bsg	Itgb2
Bsg	Sele
Bsg	Slc16a1
Bsg	Slc16a7
Bsg	Spn
Bst1	Cav1
Bst2	Pira2
Btc	Egfr
Btc	Erbb2
Btc	Erbb3
Btc	Erbb4
Btla	Cd79a
Btla	Tnfrsf14
Btla	Vtcn1
C1qa	Cd93
C1qa	Cspg4
C1qb	Lrp1
C1qtnf1	Avpr2
C1qtnf5	Mfrp
C3	C3ar1
C3	C5ar2
C3	Cd19
C3	Cd46
C3	Cd55
C3	Cd81
C3	Cr2
C3	Itgam
C3	Itgax
C3	Itgb2
C3	Lrp1
C4a	C3ar1
C4a	C5ar2
C4a	Cd46
C4b	C3ar1
C4b	C5ar2
C4b	Cd46
C4b	Cr2
Cadm1	Cadm1
Cadm1	Crtam
Cadm3	Cadm3
Calca	Calcr
Calca	Calcrl
Calca	Ramp1
Calca	Ramp2
Calcb	Calcr
Calcb	Calcrl
Calcb	Ramp1
Calm1	Adcy8
Calm1	Cacna1c
Calm1	Cnga2
Calm1	Fas
Calm1	Grm4
Calm1	Kcnn4
Calm1	Kcnq1
Calm1	Kcnq3
Calm1	Mip
Calm1	Mylk
Calm1	Oprm1
Calm1	Scn10a
Calm1	Scn4a
Calm1	Sell
Calm1	Trpc5
Calm2	Adcy8
Calm2	Cacna1c
Calm2	Grm7
Calm2	Kcnq3
Calm2	Mylk
Calm2	Scn10a
Calm2	Scn4a
Calm2	Trpc5
Calm3	Adcy8
Calm3	Grm7
Calm3	Kcnq3
Calm3	Mylk
Calm3	Scn10a
Calm3	Scn4a
Calm3	Trpc5
Calml3	Kcnq1
Calr	Itga2b
Calr	Itga3
Calr	Itgav
Calr	Lrp1
Calr	Mpl
Calr	Mtnr1a
Calr	Scarf1
Calr	Tshr
Camp	Fpr2
Camp	P2rx7
Cck	Cckar
Cck	Cckbr
Ccl11	Ackr1
Ccl11	Ackr2
Ccl11	Ackr4
Ccl11	Ccr2
Ccl11	Ccr3
Ccl11	Ccr5
Ccl11	Cxcr3
Ccl12	Ccr2
Ccl12	Ccr4
Ccl17	Ackr1
Ccl17	Ackr2
Ccl17	Ccr4
Ccl17	Ccr8
Ccl19	Ackr2
Ccl19	Ackr4
Ccl19	Ccr10
Ccl19	Ccr7
Ccl19	Ccrl2
Ccl19	Cxcr3
Ccl1	Ackr1
Ccl1	Ackr4
Ccl1	Ccr8
Ccl20	Ccr6
Ccl20	Cxcr3
Ccl21a	Ackr2
Ccl21a	Ackr4
Ccl21a	Ccr7
Ccl21a	Cxcr3
Ccl21b	Ackr2
Ccl21b	Ackr4
Ccl21b	Ccr7
Ccl21b	Cxcr3
Ccl22	Ackr2
Ccl22	Ccr4
Ccl22	Dpp4
Ccl24	Ackr2
Ccl24	Ccr2
Ccl24	Ccr3
Ccl25	Ackr2
Ccl25	Ackr4
Ccl25	Ccr10
Ccl25	Ccr9
Ccl26	Ackr2
Ccl26	Ccr1
Ccl26	Ccr2
Ccl26	Ccr3
Ccl26	Cx3cr1
Ccl27a	Ackr2
Ccl27a	Ccr10
Ccl27a	Ccr2
Ccl27a	Ccr3
Ccl27b	Ackr2
Ccl27b	Ccr10
Ccl27b	Ccr2
Ccl27b	Ccr3
Ccl28	Ackr2
Ccl28	Ccr10
Ccl28	Ccr3
Ccl2	Ackr1
Ccl2	Ackr2
Ccl2	Ackr4
Ccl2	Ccr1
Ccl2	Ccr10
Ccl2	Ccr2
Ccl2	Ccr3
Ccl2	Ccr4
Ccl2	Ccr5
Ccl3	Ackr2
Ccl3	Ccr1
Ccl3	Ccr1l1
Ccl3	Ccr3
Ccl3	Ccr4
Ccl3	Ccr5
Ccl4	Ackr2
Ccl4	Ccr1
Ccl4	Ccr3
Ccl4	Ccr5
Ccl4	Ccr8
Ccl5	Ackr1
Ccl5	Ackr2
Ccl5	Ackr4
Ccl5	Ccr1
Ccl5	Ccr1l1
Ccl5	Ccr3
Ccl5	Ccr4
Ccl5	Ccr5
Ccl5	Ccrl2
Ccl5	Cxcr3
Ccl5	Gpr75
Ccl5	Sdc1
Ccl5	Sdc4
Ccl6	Ccr1
Ccl6	Ccr1l1
Ccl6	Ccr2
Ccl6	Ccr3
Ccl7	Ackr1
Ccl7	Ackr2
Ccl7	Ackr4
Ccl7	Ccr1
Ccl7	Ccr10
Ccl7	Ccr1l1
Ccl7	Ccr2
Ccl7	Ccr3
Ccl7	Ccr5
Ccl7	Cxcr3
Ccl8	Ackr1
Ccl8	Ackr4
Ccl8	Ccr1
Ccl8	Ccr1l1
Ccl8	Ccr2
Ccl8	Ccr3
Ccl8	Ccr5
Ccl8	Ccr8
Ccl9	Ccr1
Ccl9	Ccr1l1
Ccn1	Itgam
Ccn1	Itgav
Ccn1	Itgb2
Ccn1	Tlr2
Ccn2	Egfr
Ccn2	Fgfr2
Ccn2	Itga5
Ccn2	Itgam
Ccn2	Lrp1
Ccn2	Lrp6
Ccn2	Ntrk1
Ccn3	Notch1
Cd14	C3ar1
Cd14	Cd55
Cd14	Itga4
Cd14	Itgb1
Cd14	Itgb2
Cd14	Ly96
Cd14	Tlr2
Cd14	Tlr3
Cd14	Tlr4
Cd14	Tlr9
Cd160	Tnfrsf14
Cd1d1	Ceacam5
Cd1d2	Pira2
Cd200	Cd200r1
Cd200	Cd200r2
Cd200	Cd200r3
Cd200	Cd200r4
Cd209a	Ceacam1
Cd226	Nectin2
Cd226	Pvr
Cd22	Ptprc
Cd24a	Selp
Cd274	Cd80
Cd274	Pdcd1
Cd34	Sell
Cd34	Selp
Cd40lg	Cd40
Cd40lg	Itga2b
Cd40lg	Itga5
Cd40lg	Itgam
Cd40lg	Itgb1
Cd40lg	Itgb2
Cd40lg	Itgb3
Cd40lg	Traf1
Cd40lg	Traf2
Cd40lg	Traf3
Cd46	Jag1
Cd48	Cd2
Cd48	Cd244a
Cd52	Siglecg
Cd5l	Cd5
Cd6	Alcam
Cd70	Cd27
Cd80	Cd274
Cd80	Cd28
Cd80	Ctla4
Cd84	Cd84
Cd86	Cd28
Cd86	Ctla4
Cd8a	Ceacam5
Cd96	Nectin1
Cd96	Pvr
Cd99	Cd99
Cd99	Pilra
Cdh15	Cdh15
Cdh1	Cdh1
Cdh1	Egfr
Cdh1	Fgfr1
Cdh1	Igf1r
Cdh1	Itga2
Cdh1	Itgae
Cdh1	Itgb1
Cdh1	Itgb7
Cdh1	Klrg1
Cdh1	Ptprf
Cdh1	Ptprj
Cdh1	Ptprm
Cdh2	Cdh2
Cdh4	Cdh4
Cdh5	Cdh5
Ceacam16	Tecta
Ceacam16	Tectb
Ceacam1	Ceacam5
Ceacam1	Havcr2
Ceacam1	Plaur
Ceacam1	Sdc4
Ceacam2	Havcr2
Cel	Cxcr4
Cfh	Itgam
Cfh	Sell
Cga	Fshr
Cga	Lhcgr
Cga	Tshr
Cgn	F11r
Chad	Itga2
Chad	Itgb1
Clcf1	Cntfr
Clcf1	Crlf1
Clcf1	Il6st
Clcf1	Lifr
Cldn11	Cldn11
Clec2d	Klrb1b
Clec2f	Klrb1f
Clec2g	Klrb1
Clec2g	Klrb1f
Clec2h	Klrb1
Clec2i	Klrb1
Clec2i	Klrb1f
Clec4g	Lag3
Clec4g	Tyrobp
Clu	Lrp2
Clu	Lrp8
Clu	Vldlr
Cntf	Cntfr
Cntf	Il6ra
Cntf	Il6st
Cntf	Lifr
Cntn1	Nrcam
Cntn2	Cntn1
Cntn2	Cntn2
Cntn2	Cntnap2
Cntn2	L1cam
Cntn2	Nrcam
Cntn2	Nrp1
Cntn4	Ptprg
Cntn6	Notch1
Col11a1	Ddr1
Col14a1	Cd44
Col18a1	Gpc1
Col18a1	Gpc4
Col18a1	Itga5
Col18a1	Itgb1
Col18a1	Itgb5
Col18a1	Kdr
Col1a1	Cd36
Col1a1	Cd44
Col1a1	Cd93
Col1a1	Ddr1
Col1a1	Ddr2
Col1a1	Gp6
Col1a1	Itga1
Col1a1	Itga10
Col1a1	Itga11
Col1a1	Itga2
Col1a1	Itga3
Col1a1	Itga5
Col1a1	Itga9
Col1a1	Itgav
Col1a1	Itgb1
Col1a1	Itgb8
Col1a1	Sdc1
Col1a1	Sdc4
Col1a1	Tmprss6
Col1a2	Cd36
Col1a2	Cd44
Col1a2	Cd93
Col1a2	Gp6
Col1a2	Itga1
Col1a2	Itga10
Col1a2	Itga11
Col1a2	Itga2
Col1a2	Itga2b
Col1a2	Itga3
Col1a2	Itga9
Col1a2	Itgav
Col1a2	Itgb1
Col1a2	Itgb3
Col1a2	Itgb8
Col1a2	Sdc1
Col1a2	Sdc4
Col2a1	Cd44
Col2a1	Ddr1
Col2a1	Gp6
Col2a1	Itga1
Col2a1	Itga10
Col2a1	Itga11
Col2a1	Itga2
Col2a1	Itga2b
Col2a1	Itga3
Col2a1	Itga9
Col2a1	Itgav
Col2a1	Itgb1
Col2a1	Itgb8
Col2a1	Mag
Col2a1	Sdc1
Col2a1	Sdc4
Col2a1	Tnfrsf10b
Col3a1	Ddr1
Col3a1	Ddr2
Col3a1	Itgb1
Col3a1	Mag
Col4a1	Cd44
Col4a1	Cd93
Col4a1	Gp6
Col4a1	Itga1
Col4a1	Itga10
Col4a1	Itga11
Col4a1	Itga2
Col4a1	Itga3
Col4a1	Itga9
Col4a1	Itgav
Col4a1	Itgb1
Col4a1	Itgb8
Col4a1	Sdc1
Col4a1	Sdc4
Col4a2	Cd44
Col4a2	Cd93
Col4a2	Gp6
Col4a2	Itga1
Col4a2	Itga10
Col4a2	Itga11
Col4a2	Itga2
Col4a2	Itga3
Col4a2	Itga9
Col4a2	Itgav
Col4a2	Itgb1
Col4a2	Itgb8
Col4a2	Sdc1
Col4a2	Sdc4
Col4a3	Cd44
Col4a3	Cd47
Col4a3	Cd93
Col4a3	Gp6
Col4a3	Itga1
Col4a3	Itga10
Col4a3	Itga11
Col4a3	Itga2
Col4a3	Itga3
Col4a3	Itga9
Col4a3	Itgav
Col4a3	Itgb1
Col4a3	Itgb8
Col4a3	Sdc1
Col4a3	Sdc4
Col4a4	Cd44
Col4a4	Cd93
Col4a4	Gp6
Col4a4	Itga1
Col4a4	Itga10
Col4a4	Itga11
Col4a4	Itga2
Col4a4	Itga3
Col4a4	Itga9
Col4a4	Itgav
Col4a4	Itgb1
Col4a4	Itgb8
Col4a4	Sdc1
Col4a4	Sdc4
Col4a5	Cd44
Col4a5	Cd93
Col4a5	Gp6
Col4a5	Itga1
Col4a5	Itga10
Col4a5	Itga11
Col4a5	Itga2
Col4a5	Itga3
Col4a5	Itga9
Col4a5	Itgav
Col4a5	Itgb1
Col4a5	Itgb8
Col4a5	Sdc1
Col4a5	Sdc4
Col4a6	Cd44
Col4a6	Cd93
Col4a6	Gp6
Col4a6	Itga1
Col4a6	Itga10
Col4a6	Itga11
Col4a6	Itga2
Col4a6	Itga3
Col4a6	Itga9
Col4a6	Itgav
Col4a6	Itgb1
Col4a6	Itgb8
Col4a6	Sdc1
Col4a6	Sdc4
Col5a1	Sdc3
Col5a2	Ddr1
Col5a3	Sdc3
Col6a1	Cd44
Col6a1	Gp6
Col6a1	Itga1
Col6a1	Itga10
Col6a1	Itga11
Col6a1	Itga2
Col6a1	Itga3
Col6a1	Itga9
Col6a1	Itgav
Col6a1	Itgb1
Col6a1	Itgb8
Col6a1	Sdc1
Col6a1	Sdc4
Col6a2	Cd44
Col6a2	Gp6
Col6a2	Itga1
Col6a2	Itga10
Col6a2	Itga11
Col6a2	Itga2
Col6a2	Itga3
Col6a2	Itga9
Col6a2	Itgav
Col6a2	Itgb1
Col6a2	Itgb8
Col6a2	Sdc1
Col6a2	Sdc4
Col6a3	Cd44
Col6a3	Gp6
Col6a3	Itga1
Col6a3	Itga10
Col6a3	Itga11
Col6a3	Itga2
Col6a3	Itga3
Col6a3	Itga9
Col6a3	Itgav
Col6a3	Itgb1
Col6a3	Itgb8
Col6a3	Sdc1
Col6a3	Sdc4
Col6a4	Cd44
Col6a4	Gp6
Col6a4	Itga1
Col6a4	Itga10
Col6a4	Itga11
Col6a4	Itga2
Col6a4	Itga3
Col6a4	Itga9
Col6a4	Itgav
Col6a4	Itgb1
Col6a4	Itgb8
Col6a4	Sdc1
Col6a4	Sdc4
Col6a5	Cd44
Col6a5	Gp6
Col6a5	Itga1
Col6a5	Itga10
Col6a5	Itga11
Col6a5	Itga2
Col6a5	Itga3
Col6a5	Itga9
Col6a5	Itgav
Col6a5	Itgb1
Col6a5	Itgb8
Col6a5	Sdc1
Col6a5	Sdc4
Col6a6	Cd44
Col6a6	Gp6
Col6a6	Itga1
Col6a6	Itga10
Col6a6	Itga11
Col6a6	Itga2
Col6a6	Itga3
Col6a6	Itga9
Col6a6	Itgav
Col6a6	Itgb1
Col6a6	Itgb8
Col6a6	Sdc1
Col6a6	Sdc4
Col8a1	Itga1
Col8a1	Itga2
Col9a1	Cd44
Col9a1	Gp6
Col9a1	Itga1
Col9a1	Itga10
Col9a1	Itga11
Col9a1	Itga2
Col9a1	Itga3
Col9a1	Itga9
Col9a1	Itgav
Col9a1	Itgb1
Col9a1	Itgb8
Col9a1	Mag
Col9a1	Sdc1
Col9a1	Sdc4
Col9a2	Cd44
Col9a2	Gp6
Col9a2	Itga1
Col9a2	Itga10
Col9a2	Itga11
Col9a2	Itga2
Col9a2	Itga3
Col9a2	Itga9
Col9a2	Itgav
Col9a2	Itgb1
Col9a2	Itgb8
Col9a2	Mag
Col9a2	Sdc1
Col9a2	Sdc4
Col9a3	Cd44
Col9a3	Gp6
Col9a3	Itga1
Col9a3	Itga10
Col9a3	Itga11
Col9a3	Itga2
Col9a3	Itga3
Col9a3	Itga9
Col9a3	Itgav
Col9a3	Itgb1
Col9a3	Itgb8
Col9a3	Mag
Col9a3	Sdc1
Col9a3	Sdc4
Colq	Musk
Comp	Cd36
Comp	Cd47
Comp	Itga3
Comp	Itga7
Comp	Itgav
Comp	Itgb1
Comp	Itgb3
Comp	Notch1
Comp	Notch3
Comp	Sdc1
Comp	Sdc4
Cort	Ghsr
Cort	Mrgprb1
Cort	Mrgprx2
Cort	Sstr1
Cort	Sstr2
Cort	Sstr3
Cort	Sstr4
Cort	Sstr5
Cp	Slc40a1
Crh	Crhr1
Crh	Crhr2
Crh	Mc2r
Crisp2	Catsper1
Crp	Fcgr1
Crp	Olr1
Crp	Tlr4
Csf1	Csf1r
Csf1	Flt4
Csf2	Csf1r
Csf2	Csf2ra
Csf2	Csf2rb
Csf2	Csf2rb2
Csf2	Csf3r
Csf2	Il3ra
Csf2	Sdc2
Csf3	Csf1r
Csf3	Csf3r
Cspg4	Itga3
Cspg4	Itgb1
Cst3	Lrp2
Ctf1	Il6st
Ctf1	Lifr
Cthrc1	Fzd3
Cthrc1	Fzd5
Cthrc1	Fzd6
Ctla4	Cd80
Ctsd	Lrp1
Ctsg	F2r
Ctsg	F2rl1
Ctsg	F2rl2
Ctsg	F2rl3
Ctsg	Pard3
Cubn	Lrp2
Cx3cl1	Cx3cr1
Cx3cl1	Itga4
Cx3cl1	Itgav
Cx3cl1	Itgb1
Cx3cl1	Itgb3
Cxcl10	Ackr1
Cxcl10	Ccr3
Cxcl10	Cxcr3
Cxcl10	Cxcr4
Cxcl10	Dpp4
Cxcl10	Sdc4
Cxcl10	Tlr4
Cxcl11	Ackr1
Cxcl11	Ackr3
Cxcl11	Ccr3
Cxcl11	Cxcr3
Cxcl12	Ackr3
Cxcl12	Agtr1a
Cxcl12	Avpr1a
Cxcl12	Cd4
Cxcl12	Cmklr1
Cxcl12	Cxcr3
Cxcl12	Cxcr4
Cxcl12	Dpp4
Cxcl12	Gpr17
Cxcl12	Itga4
Cxcl12	Itga5
Cxcl12	Itgav
Cxcl12	Itgb1
Cxcl12	Itgb3
Cxcl12	Oprd1
Cxcl12	Oprm1
Cxcl13	Ackr1
Cxcl13	Ackr4
Cxcl13	Ccr10
Cxcl13	Cxcr3
Cxcl13	Cxcr5
Cxcl14	Cxcr4
Cxcl16	Cxcr6
Cxcl17	Gpr35
Cxcl1	Ackr1
Cxcl1	Cxcr1
Cxcl1	Cxcr2
Cxcl1	Xcr1
Cxcl2	Ackr1
Cxcl2	Cxcr1
Cxcl2	Cxcr2
Cxcl3	Ackr1
Cxcl3	Cxcr1
Cxcl3	Cxcr2
Cxcl3	Cxcr3
Cxcl5	Ackr1
Cxcl5	Cxcr1
Cxcl5	Cxcr2
Cxcl9	Ackr1
Cxcl9	Ccr3
Cxcl9	Cxcr3
Cxcl9	Dpp4
Dcn	Egfr
Dcn	Erbb4
Dcn	Met
Defb14	Ccr2
Defb14	Ccr6
Defb1	Ccr6
Dhh	Boc
Dhh	Cdon
Dhh	Hhip
Dhh	Ptch1
Dhh	Ptch2
Dhh	Smo
Dkk1	Kremen1
Dkk1	Kremen2
Dkk1	Lrp5
Dkk1	Lrp6
Dkk2	Kremen2
Dkk2	Lrp6
Dkk3	Kremen1
Dkk4	Kremen1
Dkk4	Lrp6
Dlk1	Notch1
Dlk1	Notch2
Dlk1	Notch3
Dlk1	Notch4
Dlk2	Notch1
Dll1	Notch1
Dll1	Notch2
Dll1	Notch3
Dll1	Notch4
Dll3	Notch1
Dll3	Notch2
Dll3	Notch3
Dll3	Notch4
Dll4	Notch1
Dll4	Notch2
Dll4	Notch3
Dll4	Notch4
Dmp1	Itgav
Dmp1	Itgb3
Dmp1	Phex
Draxin	Dcc
Dsc1	Dsg1c
Dsc1	Dsg2
Dsc2	Dsg1c
Dsc2	Dsg2
Dscam	Dcc
Dsg1c	Dsc3
Dsg2	Dsc3
Dspp	Itgav
Dspp	Itgb1
Dspp	Itgb6
Ebi3	Il27ra
Ebi3	Il6st
Eda	Eda2r
Eda	Edar
Edil3	Itgav
Edn1	Ednra
Edn1	Ednrb
Edn1	Kel
Edn2	Ednra
Edn2	Ednrb
Edn2	Kel
Edn3	Ednra
Edn3	Ednrb
Edn3	Kel
Efemp1	Egfr
Efemp2	Aqp1
Efemp2	Catsper1
Efemp2	Lingo1
Efemp2	Plscr4
Efna1	Epha1
Efna1	Epha10
Efna1	Epha2
Efna1	Epha3
Efna1	Epha4
Efna1	Epha5
Efna1	Epha6
Efna1	Epha7
Efna1	Epha8
Efna1	Ephb1
Efna2	Epha1
Efna2	Epha10
Efna2	Epha2
Efna2	Epha3
Efna2	Epha4
Efna2	Epha5
Efna2	Epha6
Efna2	Epha7
Efna2	Epha8
Efna3	Epha1
Efna3	Epha10
Efna3	Epha2
Efna3	Epha3
Efna3	Epha4
Efna3	Epha5
Efna3	Epha6
Efna3	Epha7
Efna3	Epha8
Efna3	Ephb1
Efna3	Erbb2
Efna4	Epha1
Efna4	Epha10
Efna4	Epha2
Efna4	Epha3
Efna4	Epha4
Efna4	Epha5
Efna4	Epha6
Efna4	Epha7
Efna4	Epha8
Efna5	Epha1
Efna5	Epha10
Efna5	Epha2
Efna5	Epha3
Efna5	Epha4
Efna5	Epha5
Efna5	Epha6
Efna5	Epha7
Efna5	Epha8
Efna5	Ephb1
Efna5	Ephb2
Efna5	Ephb6
Efnb1	Egfr
Efnb1	Epha4
Efnb1	Epha5
Efnb1	Epha6
Efnb1	Epha7
Efnb1	Ephb1
Efnb1	Ephb2
Efnb1	Ephb3
Efnb1	Ephb4
Efnb1	Ephb6
Efnb1	Erbb2
Efnb2	Epha3
Efnb2	Epha4
Efnb2	Epha6
Efnb2	Epha7
Efnb2	Ephb1
Efnb2	Ephb2
Efnb2	Ephb3
Efnb2	Ephb4
Efnb2	Ephb6
Efnb2	Grm1
Efnb2	Grm5
Efnb2	Pecam1
Efnb2	Rhbdl2
Efnb3	Epha4
Efnb3	Ephb1
Efnb3	Ephb2
Efnb3	Ephb3
Efnb3	Ephb4
Efnb3	Ephb6
Efnb3	Rhbdl2
Egf	Cav1
Egf	Cd44
Egf	Egfr
Egf	Erbb2
Egf	Erbb3
Egf	Erbb4
Egf	Nrp1
Egfl7	Itgav
Egfl7	Notch1
Egfl7	Notch2
Egfl7	Notch3
Enho	Gpr19
Entpd1	Adora1
Entpd1	Adora2a
Entpd1	Adora2b
Entpd1	Tmigd3
Epgn	Egfr
Epo	Epor
Epo	Mpl
Ereg	Egfr
Ereg	Erbb2
Ereg	Erbb4
Esam	Esam
F10	F3
F11	Gp1ba
F11r	F11r
F11r	Itgal
F11r	Itgb2
F11r	Jam2
F11r	Jam3
F12	Cd93
F12	Gp1ba
F13a1	Itga4
F13a1	Itga9
F13a1	Itgb1
F2	F2r
F2	F2rl1
F2	F2rl2
F2	F2rl3
F2	Gp1ba
F2	Gp9
F2	Itga2b
F2	Pard3
F2	Thbd
